FIELD,YEAR,PLAYER,RANK,CHANGE,NEW,SPEC_SCORE
PINBALL,2020,Raymond Davidson,1,0.0,False,1957.52
PINBALL,2020,Johannes Ostermeier,2,0.0,False,1803.01
PINBALL,2020,Eric Stone,3,6.0,False,1989.17
PINBALL,2020,Daniele Celestino Acciari,4,0.0,False,1851.08
PINBALL,2020,Keith Elwin,5,-2.0,False,1971.12
PINBALL,2020,Peter Andersen,6,2.0,False,1702.45
PINBALL,2020,Escher Lefkoff,7,13.0,False,1943.93
PINBALL,2020,Colin Urban,8,35.0,False,1893.94
PINBALL,2020,Cayle George,9,1.0,False,1905.99
PINBALL,2020,Colin MacAlpine,10,3.0,False,1864.46
PINBALL,2020,Julio Vicario Soriano,11,7.0,False,1797.68
PINBALL,2020,Bowen Kerins,12,-7.0,False,1940.97
PINBALL,2020,Robert Sutter,13,-2.0,False,1680.03
PINBALL,2020,Steven Bowden,14,-8.0,False,1768.31
PINBALL,2020,Aleksander Kaczmarczyk,15,6.0,False,2063.08
PINBALL,2020,Trent Augenstein,16,-9.0,False,1753.47
PINBALL,2020,Jim Belsito,17,6.0,False,1753.73
PINBALL,2020,David Riel,18,14.0,False,1784.91
PINBALL,2020,Franck Bona,19,-7.0,False,1579.13
PINBALL,2020,Robert Gagno,20,-5.0,False,1804.38
PINBALL,2020,Paul Englert,21,33.0,False,1670.26
PINBALL,2020,Germain Mariolle,22,-6.0,False,1776.32
PINBALL,2020,Joe Lemire,23,15.0,False,1794.17
PINBALL,2020,Andy Rosa,24,6.0,False,1979.33
PINBALL,2020,Zach Sharpe,25,-11.0,False,1745.48
PINBALL,2020,Olli-Mikko Ojamies,26,27.0,False,1736.39
PINBALL,2020,Cryss Stephens,27,-2.0,False,1735.54
PINBALL,2020,Emil ED Dreiborg,28,73.0,True,1537.98
PINBALL,2020,Levente Tregova,29,-12.0,False,1675.13
PINBALL,2020,Josh Sharpe,30,12.0,False,1873.99
PINBALL,2020,Mats Runsten,31,-3.0,False,1698.18
PINBALL,2020,Karl DeAngelo,32,8.0,False,1900.52
PINBALL,2020,Roberto Pedroni,33,-6.0,False,1812.27
PINBALL,2020,Phil Birnbaum,34,5.0,False,1640.73
PINBALL,2020,Jörgen Holm,35,-16.0,False,1587.22
PINBALL,2020,Marcus Hugosson,36,12.0,False,1681.39
PINBALL,2020,Luke Nahorniak,37,44.0,False,1744.01
PINBALL,2020,Jason Werdrick,38,-14.0,False,1756.4
PINBALL,2020,Andrei Massenkoff,39,8.0,False,1817.55
PINBALL,2020,Albert Nomden,40,-18.0,False,1715.3
PINBALL,2020,John Delzoppo,41,-7.0,False,1926.86
PINBALL,2020,Jack Tadman,42,-9.0,False,1760.94
PINBALL,2020,Alberto Santana,43,-6.0,False,1635.29
PINBALL,2020,Bob Matthews,44,2.0,False,1677.05
PINBALL,2020,Tobias Wagemann,45,7.0,False,1532.25
PINBALL,2020,Adam Becker,46,-20.0,False,1787.9
